read_rank,ladder_call,ladder_confidence_tier,review_priority,primary_review,top_parallel_group,low_confidence_noise,seed_index,seed_mass,seed_mass_integer,seed_mass_decimal,seed_rt,start_block,read_length,mean_rel_i,candidate_partner_rank,partner_seed_mass,partner_seed_mass_integer,partner_seed_mass_decimal,paired_decimal_difference,paired_rt_difference,paired_length_overlap,mass_difference_consistency,precursor_or_intact_mass_closure,decision_basis,fallback_median_used,ladder_classification,ladder_confidence,ladder_evidence,ladder_warnings
1,conflict,low,1_top_parallel,True,True,False,0,976.2489,976,0.2489,1.997,3,16,0.9396,3,6877.8589,6877,0.8589,0.61,8.6801,0.724,False,,paired_evidence,False,conflict,0.4,seed decimal: chain 0=0.249 vs chain 2=0.859 (diff=+0.610); seed RT: chain 0=1.997 vs chain 2=10.677 (diff=+8.680); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.72; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; paired with chain 2, but decimal/RT evidence conflicts -- needs manual review"
2,5',high,1_top_parallel,True,True,False,18,2733.4127,2733,0.4127,8.075,9,14,0.9827,4,5688.8042,5688,0.8042,0.3915,-3.4965,0.827,True,,paired_evidence,False,likely_5prime,0.859,"seed decimal: chain 1=0.413 vs chain 3=0.804 (diff=+0.391); seed RT: chain 1=8.075 vs chain 3=4.579 (diff=-3.497); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.83; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 3 (pair score=0.72, read lengths 14/19)",
3,conflict,low,1_top_parallel,True,True,False,64,6877.8589,6877,0.8589,10.677,21,12,0.976,1,976.2489,976,0.2489,-0.61,-8.6801,0.724,False,,paired_evidence,False,conflict,0.4,seed decimal: chain 0=0.249 vs chain 2=0.859 (diff=+0.610); seed RT: chain 0=1.997 vs chain 2=10.677 (diff=+8.680); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.72; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; paired with chain 0, but decimal/RT evidence conflicts -- needs manual review"
4,3',high,1_top_parallel,True,True,False,55,5688.8042,5688,0.8042,4.579,18,19,0.9436,2,2733.4127,2733,0.4127,-0.3915,3.4965,0.827,True,,paired_evidence,False,likely_3prime,0.859,"seed decimal: chain 1=0.413 vs chain 3=0.804 (diff=+0.391); seed RT: chain 1=8.075 vs chain 3=4.579 (diff=-3.497); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.83; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 1 (pair score=0.72, read lengths 19/14)",
5,ambiguous,low,4_low_confidence_noise,False,False,True,14,2427.3849,2427,0.3849,8.052,8,2,1.0,,,,,,,,,,no_partner_found,False,ambiguous,0.0,"no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way, so it cannot be called 5' or 3'; supplementary, non-determining note: seed decimal 0.385 vs across-chain median 0.539 (this is NOT used to decide the label)",no paired read found -- recommend manual review or a reference sequence to disambiguate
6,ambiguous,low,4_low_confidence_noise,False,False,True,53,5550.6643,5550,0.6643,10.756,17,2,0.9311,,,,,,,,,,no_partner_found,False,ambiguous,0.0,"no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way, so it cannot be called 5' or 3'; supplementary, non-determining note: seed decimal 0.664 vs across-chain median 0.539 (this is NOT used to decide the label)",no paired read found -- recommend manual review or a reference sequence to disambiguate
