read_rank,ladder_call,ladder_confidence_tier,candidate_partner_rank,seed_mass_integer,seed_mass_decimal,partner_seed_mass_integer,partner_seed_mass_decimal,paired_decimal_difference,paired_rt_difference,paired_length_overlap,decision_basis,fallback_median_used,ladder_evidence,ladder_warnings
1,conflict,low,3,976,0.2489,6877,0.8589,0.61,8.6801,0.724,paired_evidence,False,seed decimal: chain 0=0.249 vs chain 2=0.859 (diff=+0.610); seed RT: chain 0=1.997 vs chain 2=10.677 (diff=+8.680); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.72; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; paired with chain 2, but decimal/RT evidence conflicts -- needs manual review"
2,5',high,4,2733,0.4127,5688,0.8042,0.3915,-3.4965,0.827,paired_evidence,False,"seed decimal: chain 1=0.413 vs chain 3=0.804 (diff=+0.391); seed RT: chain 1=8.075 vs chain 3=4.579 (diff=-3.497); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.83; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 3 (pair score=0.72, read lengths 14/19)",
3,conflict,low,1,6877,0.8589,976,0.2489,-0.61,-8.6801,0.724,paired_evidence,False,seed decimal: chain 0=0.249 vs chain 2=0.859 (diff=+0.610); seed RT: chain 0=1.997 vs chain 2=10.677 (diff=+8.680); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.72; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; paired with chain 0, but decimal/RT evidence conflicts -- needs manual review"
4,3',high,2,5688,0.8042,2733,0.4127,-0.3915,3.4965,0.827,paired_evidence,False,"seed decimal: chain 1=0.413 vs chain 3=0.804 (diff=+0.391); seed RT: chain 1=8.075 vs chain 3=4.579 (diff=-3.497); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 2; mass-range overlap fraction: 0.83; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 1 (pair score=0.72, read lengths 19/14)",
5,ambiguous,low,,2427,0.3849,,,,,,no_partner_found,False,"no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way, so it cannot be called 5' or 3'; supplementary, non-determining note: seed decimal 0.385 vs across-chain median 0.539 (this is NOT used to decide the label)",no paired read found -- recommend manual review or a reference sequence to disambiguate
6,ambiguous,low,,5550,0.6643,,,,,,no_partner_found,False,"no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way, so it cannot be called 5' or 3'; supplementary, non-determining note: seed decimal 0.664 vs across-chain median 0.539 (this is NOT used to decide the label)",no paired read found -- recommend manual review or a reference sequence to disambiguate
