read_rank,ladder_call,confidence_tier,review_priority,read_length,mean_rel_i,candidate_partner_rank,decision_basis,evidence_short,warning_short,suggested_action
1,conflict,low,1_top_parallel,16,0.9396,3,paired_evidence,seed decimal: chain 0=0.249 vs chain 2=0.859 (diff=+0.610); seed RT: chain 0=1.997 vs chain 2=10.67…,decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; paired wit…,Manual review required: decimal and RT evidence disagree
2,5',high,1_top_parallel,14,0.9827,4,paired_evidence,seed decimal: chain 1=0.413 vs chain 3=0.804 (diff=+0.391); seed RT: chain 1=8.075 vs chain 3=4.579…,,Use as primary sequencing evidence
3,conflict,low,1_top_parallel,12,0.976,1,paired_evidence,seed decimal: chain 0=0.249 vs chain 2=0.859 (diff=+0.610); seed RT: chain 0=1.997 vs chain 2=10.67…,decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; paired wit…,Manual review required: decimal and RT evidence disagree
4,3',high,1_top_parallel,19,0.9436,2,paired_evidence,seed decimal: chain 1=0.413 vs chain 3=0.804 (diff=+0.391); seed RT: chain 1=8.075 vs chain 3=4.579…,,Use as primary sequencing evidence
5,ambiguous,low,4_low_confidence_noise,2,1.0,,no_partner_found,no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way…,no paired read found -- recommend manual review or a reference sequence to disambiguate,Review partner read or reference sequence before using
6,ambiguous,low,4_low_confidence_noise,2,0.9311,,no_partner_found,no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way…,no paired read found -- recommend manual review or a reference sequence to disambiguate,Review partner read or reference sequence before using
