read_rank,ladder_call,confidence_tier,review_priority,read_length,mean_rel_i,candidate_partner_rank,decision_basis,evidence_short,warning_short,suggested_action
1,conflict,low,1_top_parallel,16,1.0,7,paired_evidence,seed decimal: chain 0=0.249 vs chain 6=0.755 (diff=+0.506); seed RT: chain 0=1.997 vs chain 6=10.71…,decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; mass range…,Manual review required: decimal and RT evidence disagree
2,3',high,1_top_parallel,10,1.0,3,paired_evidence,seed decimal: chain 1=0.755 vs chain 2=0.319 (diff=-0.437); seed RT: chain 1=4.613 vs chain 2=7.997…,mass ranges barely overlap; pair may not originate from the same molecule,Use as primary sequencing evidence
3,5',high,1_top_parallel,16,1.0,2,paired_evidence,seed decimal: chain 1=0.755 vs chain 2=0.319 (diff=-0.437); seed RT: chain 1=4.613 vs chain 2=7.997…,mass ranges barely overlap; pair may not originate from the same molecule,Use as primary sequencing evidence
4,5',high,1_top_parallel,13,0.9152,5,paired_evidence,seed decimal: chain 3=0.154 vs chain 4=0.727 (diff=+0.573); seed RT: chain 3=11.002 vs chain 4=4.64…,mass ranges barely overlap; pair may not originate from the same molecule,Use as primary sequencing evidence
5,3',high,2_primary_review,5,1.0,4,paired_evidence,seed decimal: chain 3=0.154 vs chain 4=0.727 (diff=+0.573); seed RT: chain 3=11.002 vs chain 4=4.64…,mass ranges barely overlap; pair may not originate from the same molecule,Use as primary sequencing evidence
6,ambiguous,low,3_secondary,4,1.0,,no_partner_found,no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way…,no paired read found -- recommend manual review or a reference sequence to disambiguate,Review partner read or reference sequence before using
7,conflict,low,3_secondary,3,0.7522,1,paired_evidence,seed decimal: chain 0=0.249 vs chain 6=0.755 (diff=+0.506); seed RT: chain 0=1.997 vs chain 6=10.71…,decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; mass range…,Manual review required: decimal and RT evidence disagree
