read_rank,ladder_call,ladder_confidence_tier,candidate_partner_rank,seed_mass_integer,seed_mass_decimal,partner_seed_mass_integer,partner_seed_mass_decimal,paired_decimal_difference,paired_rt_difference,paired_length_overlap,decision_basis,fallback_median_used,ladder_evidence,ladder_warnings
1,conflict,low,7,976,0.2489,33203,0.7551,0.5062,8.719,0.0,paired_evidence,False,seed decimal: chain 0=0.249 vs chain 6=0.755 (diff=+0.506); seed RT: chain 0=1.997 vs chain 6=10.716 (diff=+8.719); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 6; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; mass ranges barely overlap; pair may not originate from the same molecule; paired with chain 6, but decimal/RT evidence conflicts -- needs manual review"
2,3',high,3,14359,0.7551,19816,0.3185,-0.4366,3.3837,0.0,paired_evidence,False,"seed decimal: chain 1=0.755 vs chain 2=0.319 (diff=-0.437); seed RT: chain 1=4.613 vs chain 2=7.997 (diff=+3.384); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 2 (pair score=0.60, read lengths 10/16)",mass ranges barely overlap; pair may not originate from the same molecule
3,5',high,2,19816,0.3185,14359,0.7551,0.4366,-3.3837,0.0,paired_evidence,False,"seed decimal: chain 1=0.755 vs chain 2=0.319 (diff=-0.437); seed RT: chain 1=4.613 vs chain 2=7.997 (diff=+3.384); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 1 (pair score=0.60, read lengths 16/10)",mass ranges barely overlap; pair may not originate from the same molecule
4,5',high,5,28625,0.1543,14053,0.7268,0.5725,-6.3577,0.0,paired_evidence,False,"seed decimal: chain 3=0.154 vs chain 4=0.727 (diff=+0.573); seed RT: chain 3=11.002 vs chain 4=4.644 (diff=-6.358); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 4 (pair score=0.64, read lengths 13/5)",mass ranges barely overlap; pair may not originate from the same molecule
5,3',high,4,14053,0.7268,28625,0.1543,-0.5725,6.3577,0.0,paired_evidence,False,"seed decimal: chain 3=0.154 vs chain 4=0.727 (diff=+0.573); seed RT: chain 3=11.002 vs chain 4=4.644 (diff=-6.358); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 3 (pair score=0.64, read lengths 5/13)",mass ranges barely overlap; pair may not originate from the same molecule
6,ambiguous,low,,13748,0.6873,,,,,,no_partner_found,False,"no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way, so it cannot be called 5' or 3'; supplementary, non-determining note: seed decimal 0.687 vs across-chain median 0.687 (this is NOT used to decide the label)",no paired read found -- recommend manual review or a reference sequence to disambiguate
7,conflict,low,1,33203,0.7551,976,0.2489,-0.5062,-8.719,0.0,paired_evidence,False,seed decimal: chain 0=0.249 vs chain 6=0.755 (diff=+0.506); seed RT: chain 0=1.997 vs chain 6=10.716 (diff=+8.719); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 6; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; mass ranges barely overlap; pair may not originate from the same molecule; paired with chain 0, but decimal/RT evidence conflicts -- needs manual review"
