read_rank,ladder_call,ladder_confidence_tier,review_priority,primary_review,top_parallel_group,low_confidence_noise,seed_index,seed_mass,seed_mass_integer,seed_mass_decimal,seed_rt,start_block,read_length,mean_rel_i,candidate_partner_rank,partner_seed_mass,partner_seed_mass_integer,partner_seed_mass_decimal,paired_decimal_difference,paired_rt_difference,paired_length_overlap,mass_difference_consistency,precursor_or_intact_mass_closure,decision_basis,fallback_median_used,ladder_classification,ladder_confidence,ladder_evidence,ladder_warnings
1,conflict,low,1_top_parallel,True,True,False,0,976.2489,976,0.2489,1.997,3,16,1.0,7,33203.7551,33203,0.7551,0.5062,8.719,0.0,False,,paired_evidence,False,conflict,0.32,seed decimal: chain 0=0.249 vs chain 6=0.755 (diff=+0.506); seed RT: chain 0=1.997 vs chain 6=10.716 (diff=+8.719); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 6; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; mass ranges barely overlap; pair may not originate from the same molecule; paired with chain 6, but decimal/RT evidence conflicts -- needs manual review"
2,3',high,1_top_parallel,True,True,False,29,14359.7551,14359,0.7551,4.613,45,10,1.0,3,19816.3185,19816,0.3185,-0.4366,3.3837,0.0,True,,paired_evidence,False,likely_3prime,0.799,"seed decimal: chain 1=0.755 vs chain 2=0.319 (diff=-0.437); seed RT: chain 1=4.613 vs chain 2=7.997 (diff=+3.384); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 2 (pair score=0.60, read lengths 10/16)",mass ranges barely overlap; pair may not originate from the same molecule
3,5',high,1_top_parallel,True,True,False,35,19816.3185,19816,0.3185,7.997,62,16,1.0,2,14359.7551,14359,0.7551,0.4366,-3.3837,0.0,True,,paired_evidence,False,likely_5prime,0.799,"seed decimal: chain 1=0.755 vs chain 2=0.319 (diff=-0.437); seed RT: chain 1=4.613 vs chain 2=7.997 (diff=+3.384); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 1 (pair score=0.60, read lengths 16/10)",mass ranges barely overlap; pair may not originate from the same molecule
4,5',high,1_top_parallel,True,True,False,51,28625.1543,28625,0.1543,11.002,89,13,0.9152,5,14053.7268,14053,0.7268,0.5725,-6.3577,0.0,True,,paired_evidence,False,likely_5prime,0.763,"seed decimal: chain 3=0.154 vs chain 4=0.727 (diff=+0.573); seed RT: chain 3=11.002 vs chain 4=4.644 (diff=-6.358); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 4 (pair score=0.64, read lengths 13/5)",mass ranges barely overlap; pair may not originate from the same molecule
5,3',high,2_primary_review,True,False,False,28,14053.7268,14053,0.7268,4.644,44,5,1.0,4,28625.1543,28625,0.1543,-0.5725,6.3577,0.0,True,,paired_evidence,False,likely_3prime,0.763,"seed decimal: chain 3=0.154 vs chain 4=0.727 (diff=+0.573); seed RT: chain 3=11.002 vs chain 4=4.644 (diff=-6.358); decimal/RT sign consistency: consistent with Jiang rule; intensity-rank gap between the two reads: 1; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured); paired with chain 3 (pair score=0.64, read lengths 5/13)",mass ranges barely overlap; pair may not originate from the same molecule
6,ambiguous,low,3_secondary,False,False,False,27,13748.6873,13748,0.6873,4.668,43,4,1.0,,,,,,,,,,no_partner_found,False,ambiguous,0.0,"no candidate partner read met min_pair_score -- this chain has no 5'/3' partner evidence either way, so it cannot be called 5' or 3'; supplementary, non-determining note: seed decimal 0.687 vs across-chain median 0.687 (this is NOT used to decide the label)",no paired read found -- recommend manual review or a reference sequence to disambiguate
7,conflict,low,3_secondary,False,False,False,63,33203.7551,33203,0.7551,10.716,95,3,0.7522,1,976.2489,976,0.2489,-0.5062,-8.719,0.0,False,,paired_evidence,False,conflict,0.32,seed decimal: chain 0=0.249 vs chain 6=0.755 (diff=+0.506); seed RT: chain 0=1.997 vs chain 6=10.716 (diff=+8.719); decimal/RT sign consistency: CONTRADICTORY; intensity-rank gap between the two reads: 6; mass-range overlap fraction: 0.00; same starting block: False; precursor mass closure: not evaluated (no precursor_mass configured),"decimal-part and RT evidence disagree on which read is 5' vs 3' for this candidate pair; mass ranges barely overlap; pair may not originate from the same molecule; paired with chain 0, but decimal/RT evidence conflicts -- needs manual review"
